Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
" 260112B96572830 ",Noam,Pearline,31-07-2000,"+06317563294 ",Pearline.Noam@gmail.com,816930,8136290,53322.1
" 119032B49508291 ",Gavrila,Adore,22-02-2002,"+00409963001 ",Adore.Gavrila@gmail.com,526721,6486883,11760.3
" 203122A19862765 ",Campball,Corene,08-10-1979,"+73795637375 ",Corene.Campball@gmail.com,778556,1505755,68541.8
" 291033526117614 ",Krystle,Aigneis,08-01-1950,"+25234227755 ",Aigneis.Krystle@gmail.com,158676,2572909,78096.9
" 101022B38224690 ",Rad,Bobbi,28-03-1981,"0763681461 ",Bobbi.Rad@gmail.com,819464,5357912,1220.8
" 215053432490820 ",Nisbet,Giustina,28-04-1904,"0192771377 ",Giustina.Nisbet@gmail.com,666506,7145204,21380.2
" 278073031934202 ",Maroney,Elsie,22-06-1956,"0972797973 ",Elsie.Maroney@gmail.com,503996,2641659,67058.7
" 170027375185330 ",Anastatius,Jany,25-01-1905,"0147874809 ",Jany.Anastatius@gmail.com,660213,7396809,62767.1
" 222017331248660 ",Bobbee,Tersina,27-08-1994,"+96211739962 ",Tersina.Bobbee@gmail.com,499693,2676866,74428.9
" 228022A16471407 ",Zachary,Aigneis,29-12-1993,"0277981624 ",Aigneis.Zachary@gmail.com,970994,2024253,36630.4
" 221098326472299 ",Engdahl,Magdalena,16-02-1933,"+56475976101 ",Magdalena.Engdahl@gmail.com,254488,8761500,1145.1
" 135102B45584050 ",Fax,Constance,27-03-2001,"+53319375865 ",Constance.Fax@gmail.com,792743,1674902,13415.9
" 139117667631985 ",Glenden,Sibella,22-08-1933,"+64586434462 ",Sibella.Glenden@gmail.com,279579,8691563,29197
" 238112B55501462 ",Moina,Kerrin,28-12-1954,"0603609104 ",Kerrin.Moina@gmail.com,262409,1540580,18211.3
" 233100287918063 ",Gladstone,Hermione,23-03-1904,"0150483206 ",Hermione.Gladstone@gmail.com,948279,7451886,50471.5
" 135121851412042 ",Lorain,Alyssa,01-05-1920,"0387445822 ",Alyssa.Lorain@gmail.com,542485,3079782,82252.8
" 278106284694207 ",Muriel,Charissa,27-12-1939,"0416348410 ",Charissa.Muriel@gmail.com,639154,8114844,72061.4
" 243072A12539710 ",Janith,Meg,08-12-1952,"+75181465953 ",Meg.Janith@gmail.com,523995,2005192,30316.3
" 208107042864403 ",Fadiman,Babita,31-10-1915,"+99251863431 ",Babita.Fadiman@gmail.com,634468,4872921,49957.2
" 229128468168153 ",Alva,Alejandra,03-08-1911,"0924937190 ",Alejandra.Alva@gmail.com,721769,3337697,81571.9
" 102032A97371659 ",Wiener,Lanna,15-04-1907,"+01406888312 ",Lanna.Wiener@gmail.com,211679,4236356,12441.5
" 204122B08574920 ",Nance,Kaja,10-04-1940,"+38945551180 ",Kaja.Nance@gmail.com,550254,1523178,56708
" 115092327864837 ",Eben,Lilith,02-08-1985,"+45617767750 ",Lilith.Eben@gmail.com,612712,7313798,82035.7
" 286032B52898413 ",Salvidor,Tiffie,25-11-1928,"0643849880 ",Tiffie.Salvidor@gmail.com,870667,7300712,6114.5
" 144123021107799 ",Goode,Justinn,13-02-1980,"+28411423815 ",Justinn.Goode@gmail.com,859199,4743769,24243.7
" 245032185189605 ",Alva,Fidelia,15-03-2004,"+18270435776 ",Fidelia.Alva@gmail.com,705921,7690943,21547.8
" 281129376042262 ",Wolfgram,Emelina,09-01-1926,"0728122973 ",Emelina.Wolfgram@gmail.com,952530,3464351,94901.1
" 146045587098335 ",Cohdwell,Margalo,29-10-1977,"0448665064 ",Margalo.Cohdwell@gmail.com,779163,1039734,77922.8
" 291061796109136 ",Fancie,Sam,27-12-1946,"+05412411057 ",Sam.Fancie@gmail.com,878621,1625573,98748.2
" 220112A23019838 ",Vary,Robinia,13-02-1955,"+48537838979 ",Robinia.Vary@gmail.com,483414,3619652,29824.1
" 257122A33648908 ",Olympium,Regina,22-10-1911,"+45609553464 ",Regina.Olympium@gmail.com,976279,3849535,86601.5
" 121094299744551 ",Earlie,Margarette,11-12-1923,"+60914415365 ",Margarette.Earlie@gmail.com,885096,2800540,44092.1
" 258102B26256931 ",Gunn,Ricky,25-04-1988,"0984744577 ",Ricky.Gunn@gmail.com,122108,7215972,79708.1
" 109122A07731947 ",Abbot,Andeee,02-05-1956,"+82212343522 ",Andeee.Abbot@gmail.com,110889,5931562,55309.6
" 176102A91152762 ",Zenas,Sadie,21-04-1900,"0276691462 ",Sadie.Zenas@gmail.com,731018,3843613,37569.7
" 249112A37931818 ",Riva,Vita,25-06-1989,"0853940656 ",Vita.Riva@gmail.com,789098,5895660,1214.4
" 257112B14058627 ",Rooney,Rori,30-05-1999,"+87832225878 ",Rori.Rooney@gmail.com,477112,2407561,56729.8
" 274012A28137181 ",Judye,Anestassia,01-09-1918,"+78161702785 ",Anestassia.Judye@gmail.com,722495,7619071,26819.2
" 286012A27945442 ",Grayce,Tybie,13-05-1996,"+97545050348 ",Tybie.Grayce@gmail.com,654381,2954249,99315.7
" 209112A00306199 ",Cimbura,Zaria,19-10-1939,"0255169137 ",Zaria.Cimbura@gmail.com,996419,5685602,35661.1
" 103011665615541 ",Zachary,Cristine,09-03-1923,"0253188840 ",Cristine.Zachary@gmail.com,385314,6312472,44701.9
" 158101567025597 ",Stanwood,Kara-Lynn,18-07-1996,"0291442924 ",Kara-Lynn.Stanwood@gmail.com,493216,6417361,82604.6
