Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
" 169103970829410 ",Magnolia,Elfreda,23-12-1962,"0325822833 ",Elfreda.Magnolia@gmail.com,437324,7392774,74169
" 258092B30010644 ",Mayeda,Catharine,28-12-1919,"0992310813 ",Catharine.Mayeda@gmail.com,762112,3753984,73884.4
" 235125375865104 ",Toffic,Gloria,30-06-1959,"+95756978024 ",Gloria.Toffic@gmail.com,99126,3313432,40085.3
" 198032A10842694 ",Bari,Demetris,05-11-1917,"+87874361705 ",Demetris.Bari@gmail.com,446310,7825213,64717.1
" 204052231118808 ",Anderea,Kalina,12-04-1928,"+29310535546 ",Kalina.Anderea@gmail.com,26853,5186697,56109
" 266027112443934 ",Ioab,Jessy,14-01-1995,"0998687456 ",Jessy.Ioab@gmail.com,504389,8027374,55161.6
" 167122B71589627 ",Ailyn,Cassondra,31-12-1981,"+41345927827 ",Cassondra.Ailyn@gmail.com,594767,5181973,56185.9
" 145040980152093 ",Lilas,Gratia,07-09-1926,"+42887935734 ",Gratia.Lilas@gmail.com,165983,4490969,83491.3
" 212112A11817383 ",Janene,Chloris,24-04-1967,"+25484607835 ",Chloris.Janene@gmail.com,89418,3743072,77988.6
" 243052A60249894 ",Dalli,Riannon,19-06-2001,"+60885218472 ",Riannon.Dalli@gmail.com,682488,2922575,73655.9
" 114124462667115 ",Sheedy,Lacie,03-04-1988,"+78761287509 ",Lacie.Sheedy@gmail.com,238117,4852909,86923.5
" 162102A62276139 ",Catie,Dawn,27-08-1959,"0425237306 ",Dawn.Catie@gmail.com,488837,6297548,91478.8
" 119126538822642 ",Etom,Marinna,20-05-1997,"0888198663 ",Marinna.Etom@gmail.com,244426,1663203,36107.3
" 257022B79241356 ",Natalia,Mariann,03-09-1987,"+58780316444 ",Mariann.Natalia@gmail.com,120324,7200623,78407.7
" 188104887163891 ",Janene,Jaclyn,09-01-1952,"+33378389353 ",Jaclyn.Janene@gmail.com,175684,5491007,90452.9
" 239102B54930444 ",Bearnard,Grier,30-07-1999,"0935731139 ",Grier.Bearnard@gmail.com,654075,3333494,54380.4
" 137108543813512 ",Idelia,Carly,14-03-1956,"+62785014581 ",Carly.Idelia@gmail.com,982259,8324554,79097.4
" 186114258038633 ",Pitt,Althea,08-07-1913,"0971251501 ",Althea.Pitt@gmail.com,838733,8240597,69830.5
" 276022B63612993 ",Zaslow,Dacia,11-02-1936,"0884896947 ",Dacia.Zaslow@gmail.com,274600,1904135,55888.7
" 261103224661402 ",Chandler,Ottilie,02-06-1982,"+77880955332 ",Ottilie.Chandler@gmail.com,273804,4704331,69221.8
" 124022A94909737 ",Tarrant,Jaime,14-09-1918,"0867078249 ",Jaime.Tarrant@gmail.com,680810,5330600,42065.3
" 208125455286845 ",Brodench,Tamqrah,20-02-1993,"0568625173 ",Tamqrah.Brodench@gmail.com,10926,1987966,67871.1
" 143022B34925686 ",Kolnick,Daune,14-12-1974,"0415307285 ",Daune.Kolnick@gmail.com,409516,8249263,30322
" 192108547608481 ",Docilla,Ira,08-07-1936,"0513688454 ",Ira.Docilla@gmail.com,391044,5707107,67322.9
" 161129865331105 ",Tjon,Magdalena,16-03-2001,"0834798458 ",Magdalena.Tjon@gmail.com,857927,7552124,33920.2
" 155067880785827 ",Koehler,Elmira,16-07-1991,"+72220260139 ",Elmira.Koehler@gmail.com,384694,5941610,64003.8
" 257072102533095 ",Schalles,Kathi,06-02-1998,"+30611659764 ",Kathi.Schalles@gmail.com,548203,4936564,48818.3
" 238060118849655 ",Nickola,Inga,20-12-1993,"+49812454289 ",Inga.Nickola@gmail.com,455037,8134029,17252.6
" 284052B41649574 ",Ranjiv,Marjie,12-01-1992,"+61107010803 ",Marjie.Ranjiv@gmail.com,617356,3072070,91478.8
" 225109724310778 ",Liva,Minne,24-01-1952,"+15763017087 ",Minne.Liva@gmail.com,476247,7592807,19097.3
" 264112B47308447 ",Edison,Meg,05-06-1905,"+54485068166 ",Meg.Edison@gmail.com,410024,6152895,77493.1
" 177110820774266 ",Aloise,Raf,24-02-1954,"+74953946671 ",Raf.Aloise@gmail.com,408129,1233613,21596.1
" 243012B84005079 ",Skell,Jacquetta,19-09-1932,"+56477083003 ",Jacquetta.Skell@gmail.com,551962,6279592,74871.8
