Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
103115920602065,Goldina,Mamie,27-05-1950,+09476626234,Mamie.Goldina@gmail.com,84143,8446621,808645
107018027125727,Olnee,Ethel,09-02-1948,0490996424,Ethel.Olnee@gmail.com,250209,3436306,731706.7
197015242810002,Wu,Carolina,10-05-1937,+53281865743,Carolina.Wu@gmail.com,244642,2164300,453800.2
134074795108695,Damarra,Alejandra,27-04-1935,0660704604,Alejandra.Damarra@gmail.com,801153,5802599,228879.9
172127846965451,Deegan,Deirdre,03-08-1942,0506057040,Deirdre.Deegan@gmail.com,986538,9678529,969596.1
143017019494296,Boycey,Lauryn,20-01-1900,+59224931752,Lauryn.Boycey@gmail.com,183216,3464123,962336.5
218111348344022,Bethany,Katleen,18-09-1912,+67247946467,Katleen.Bethany@gmail.com,645832,7612186,722197.4
232049790816067,Thornburg,Emylee,04-10-1981,0610649096,Emylee.Thornburg@gmail.com,881616,2423944,714245.9
154073700584736,Nelsen,Chere,20-05-1926,0186291320,Chere.Nelsen@gmail.com,367139,6981247,655225.7
295067537830113,Sidonius,Binny,07-01-1984,0830176895,Binny.Sidonius@gmail.com,188540,8300035,645068.3
190074284322697,Sabella,Libbie,28-05-1969,0935415109,Libbie.Sabella@gmail.com,616450,3382612,186418.5
193112369474265,Chrystel,Winifred,30-09-1926,0414865432,Winifred.Chrystel@gmail.com,770714,5363016,400919.7
105053532956428,Elo,Oona,18-03-1990,0928064487,Oona.Elo@gmail.com,503494,7013874,257525.8
237106210157218,Burnside,Brana,06-04-1938,+16584882497,Brana.Burnside@gmail.com,721365,7797364,222599.4
107128230069959,Trace,Cathyleen,04-11-1951,+11433189310,Cathyleen.Trace@gmail.com,424320,3058253,112545.9
268058905291835,Land,Corina,19-09-1963,+55494268197,Corina.Land@gmail.com,199501,8936310,494160
123120111017541,Blisse,Marita,24-10-1960,0791287983,Marita.Blisse@gmail.com,531566,5595908,250085.1
147063394263125,Leffen,Viviene,06-06-1928,0155747846,Viviene.Leffen@gmail.com,747184,8137325,627832.3
198030857308814,Eiser,Jillayne,25-05-1969,+79100500319,Jillayne.Eiser@gmail.com,305362,4815603,11324.7
146125750500080,Emerson,Daune,06-03-1924,0829825178,Daune.Emerson@gmail.com,161884,4405930,655679.4
227124115946962,Francyne,Lauryn,16-03-1968,+84488587383,Lauryn.Francyne@gmail.com,915137,2544556,629733.9
166031408329333,Zitvaa,Zondra,09-09-1901,0542323105,Zondra.Zitvaa@gmail.com,748349,7760498,781159.9
161100033405023,Raffo,Roxane,27-05-1977,0422106580,Roxane.Raffo@gmail.com,317322,6516043,379185.3
281126246417122,Even,Addia,02-12-1994,+40815959768,Addia.Even@gmail.com,26227,6781761,499996.2
112122385102516,Shanley,Bibby,03-09-1956,0279436229,Bibby.Shanley@gmail.com,399102,6578045,286258.8
126113736937453,Evvie,Ariela,30-06-1933,0282905323,Ariela.Evvie@gmail.com,554347,4186269,801159.1
257123390258676,Fax,Jsandye,17-12-1937,0334966284,Jsandye.Fax@gmail.com,615751,3607878,582070.2
273123413014307,Delila,Rozele,01-12-2001,+59185104891,Rozele.Delila@gmail.com,795630,2110750,341771.1
182115148290013,Wesle,Correy,16-08-1961,0478272385,Correy.Wesle@gmail.com,118316,1087422,830490.5
210020872342256,Avi,Johna,09-01-1939,0270603828,Johna.Avi@gmail.com,993579,4449974,623629.5
206108329512658,O'Rourke,Rozele,29-03-1990,0425980068,Rozele.O'Rourke@gmail.com,58889,1562006,170317.1
136100196285875,Roscoe,Kara-Lynn,30-05-1953,+96786938050,Kara-Lynn.Roscoe@gmail.com,519525,8522759,952558.5
202038102669668,Orpah,Tracey,14-10-1946,0586437338,Tracey.Orpah@gmail.com,151157,8366272,312578
107095119745819,Han,Ardeen,26-11-1903,0754582007,Ardeen.Han@gmail.com,948895,7988322,224586.4
293065223921536,Mike,Minda,16-09-1999,+93330128734,Minda.Mike@gmail.com,483401,8598946,257136.8
117113684561044,Tacye,Sissy,08-05-1995,+96252976411,Sissy.Tacye@gmail.com,464334,3638194,359437.2
286071710443841,Alva,Dode,12-05-1954,+56241710091,Dode.Alva@gmail.com,120056,3472453,436209.9
270030848584281,Harday,Gerrie,04-03-1925,0819102598,Gerrie.Harday@gmail.com,816583,3171968,918242.4
297122753263374,Kevon,Norine,03-02-1958,0800677780,Norine.Kevon@gmail.com,9805,1419880,672763.6
135013353100468,Louanna,Ericka,13-07-1949,0679410534,Ericka.Louanna@gmail.com,896519,5073900,948654.2
169038704685771,Thilda,Marleah,08-10-1916,0131103459,Marleah.Thilda@gmail.com,746860,5426859,319827.5
233042461379590,Gert,Nickie,08-11-1923,+82622684825,Nickie.Gert@gmail.com,535676,2008389,960113.7
199129426271139,Lubin,Arabel,27-12-1987,0249945171,Arabel.Lubin@gmail.com,69181,2389539,567930.4
161127221307882,Ellord,Adriana,29-09-1968,+85348415153,Adriana.Ellord@gmail.com,426878,3673687,446003.3
264037303116678,Maurine,Carlie,22-10-1921,0643759389,Carlie.Maurine@gmail.com,475763,2644265,222990.3
130109161350978,Silvan,Aubrie,07-08-1942,+36394180054,Aubrie.Silvan@gmail.com,547131,4271753,173333.5
253075668061528,Constancy,Carlie,13-10-1931,+02683700805,Carlie.Constancy@gmail.com,74548,9352175,314364.6
297015279758537,Rhu,Edith,31-10-1905,+44507731278,Edith.Rhu@gmail.com,330312,2461494,625774
178059051445725,Iiette,Roxane,12-03-1954,+22602973524,Roxane.Iiette@gmail.com,725283,2504576,346638.7
237057309772357,Tengdin,Cissiee,15-08-1954,+53501138493,Cissiee.Tengdin@gmail.com,717634,2134096,361861.1
218095082764285,Ade,Paule,25-08-1998,0608221818,Paule.Ade@gmail.com,15460,3780497,306455.9
181100361585347,Merriott,Sybille,25-07-1912,0219933202,Sybille.Merriott@gmail.com,254150,3357179,471822.3
103113197062095,Hashim,Marline,05-05-1912,0776255296,Marline.Hashim@gmail.com,405076,1638038,666903.2
110100351363202,Izaak,Cassandra,14-06-1947,+93553981156,Cassandra.Izaak@gmail.com,323117,9363967,185389.9
224093679144297,Casimir,Natka,14-06-1941,0941481730,Natka.Casimir@gmail.com,915193,4308950,680900.7
118037567953863,Joli,Gisela,08-02-1909,0688383005,Gisela.Joli@gmail.com,80080,1721682,131714.3
235033402167897,Travax,Adore,17-06-1949,0958558604,Adore.Travax@gmail.com,500290,9136129,959958.9
284088696353986,Kronfeld,Mignon,14-08-1989,+39198220457,Mignon.Kronfeld@gmail.com,481787,8032946,410721.3
203120576726150,Flita,Sherrie,23-09-1946,0386900018,Sherrie.Flita@gmail.com,624645,5124274,254433.9
220038703842410,Olnee,Orsola,29-02-1984,0266741759,Orsola.Olnee@gmail.com,358318,5896142,697386.5
182099055169599,Trinetta,Clementine,11-05-1956,+80166847553,Clementine.Trinetta@gmail.com,681673,6329803,585080.6
198122394715107,Elo,Natka,12-02-1951,0660639300,Natka.Elo@gmail.com,561911,9122691,477833.2
119111104800796,Hunfredo,Sashenka,28-09-1976,+30470285741,Sashenka.Hunfredo@gmail.com,596641,7771407,496348
245117416762097,Lasley,Cherrita,04-06-1975,+83734598360,Cherrita.Lasley@gmail.com,454263,6105011,735185.7
191029033481269,Sothena,Rivalee,10-09-1927,0912144456,Rivalee.Sothena@gmail.com,735658,5195577,423056.8
169116566143886,Orelee,Vinita,08-05-1994,+09622077378,Vinita.Orelee@gmail.com,107392,5773495,878909.9
299103580311955,Melony,Zondra,24-12-1998,+54125728702,Zondra.Melony@gmail.com,15285,5812624,280184.8
